project_id,title,amount,due_date,status
p1,پیش‌پرداخت,800000000,1404/10/01,پرداخت شده
p1,مرحله اول,120000000,1404/12/01,پرداخت شده
p1,مرحله دوم,120000000,1405/02/01,پرداخت شده
p1,مرحله سوم,120000000,1405/04/01,پرداخت شده
p1,مرحله چهارم,120000000,1405/06/20,پرداخت شده
p1,مرحله پنجم,120000000,1405/08/20,در انتظار
p1,مرحله ششم,120000000,1405/10/20,در انتظار
p2,پیش‌پرداخت,1500000000,1405/03/01,پرداخت شده
p2,مرحله اول,250000000,1405/06/10,پرداخت شده
p2,مرحله دوم,250000000,1405/09/10,در انتظار
p3,پیش‌پرداخت,3000000000,1404/06/01,پرداخت شده
p3,مرحله اول,400000000,1404/12/01,پرداخت شده
p3,مرحله دوم,400000000,1405/06/18,پرداخت شده
p3,مرحله سوم,400000000,1405/12/01,در انتظار
p5,پیش‌پرداخت,1000000000,1405/06/15,پرداخت شده
p5,مرحله اول,90000000,1405/08/15,در انتظار
p6,ثبت‌نام,2000000000,1405/06/05,پرداخت شده
p6,مرحله اول,180000000,1405/09/05,در انتظار
